inv;branch;plate;make;model;internal;trip;fuel;price;kmL;l100;cost;costBeforeTax;vat;liters;odometer;pay;driver;station;stationBranch;region;loc;date;project
104151935;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;14.616;6.842;75;65.217;0.15;41.667;39805;bal;d;s;sb;r;loc;2026-05-30 22:08:06;NGMakkah
104095424;F1;PLATE;MG;MG65;3;-;95;2.34;2.925;34.188;100;86.957;0.15;42.735;74018;bal;d;s;sb;r;loc;2026-05-30 07:38:20;Imtithal
104079220;F1;PLATE;MG;MG65;3;-;95;2.34;50.661;1.974;20;17.391;0.15;8.547;73893;bal;d;s;sb;r;loc;2026-05-29 23:18:21;Imtithal
104051403;F1;PLATE;Nissan;Datsun;1;-;95;2.34;5.341;18.725;124;107.826;0.15;52.991;393698;bal;d;s;sb;r;loc;2026-05-29 13:56:33;NGMakkah
103965042;F1;PLATE;MG;MG65;3;-;95;2.34;11.076;9.029;90;78.261;0.15;38.462;73460;bal;d;s;sb;r;loc;2026-05-27 23:54:27;Imtithal
103957173;Turaif;PLATE;Isuzu;D-MAX 5;7;-;diesel;1.79;20.915;4.781;49.98;43.461;0.15;27.922;32900;bal;d;s;sb;r;loc;2026-05-27 20:05:27;Turaif
103834487;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;11.362;8.802;125;108.696;0.15;69.444;57372;bal;d;s;sb;r;loc;2026-05-25 22:19:33;NGMakkah
103819877;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;8.979;11.138;84;73.043;0.15;46.667;39196;bal;d;s;sb;r;loc;2026-05-25 18:55:36;NGMakkah
103800480;Turaif;PLATE;Isuzu;D-MAX;11;-;diesel;1.79;47.091;2.124;26;22.609;0.15;14.525;6907;bal;d;s;sb;r;loc;2026-05-25 15:28:56;Turaif
103731066;F1;PLATE;MG;MG65;3;-;95;2.34;16.848;5.935;100;86.957;0.15;42.735;73034;bal;d;s;sb;r;loc;2026-05-24 23:15:07;Imtithal
103535574;F1;PLATE;Nissan;Datsun;1;-;95;2.34;5.655;17.684;96;83.478;0.15;41.026;393415;bal;d;s;sb;r;loc;2026-05-23 05:57:26;NGMakkah
103527868;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;17.563;5.694;70;60.87;0.15;38.889;38777;bal;d;s;sb;r;loc;2026-05-23 01:46:36;NGMakkah
103436429;F1;PLATE;MG;MG65;3;-;95;2.34;29.063;3.441;100;86.957;0.15;42.735;72314;bal;d;s;sb;r;loc;2026-05-21 20:20:52;Imtithal
103404021;Turaif;PLATE;Isuzu;D-MAX;11;-;diesel;1.79;6.669;14.994;124;107.826;0.15;69.274;6223;bal;d;s;sb;r;loc;2026-05-21 14:39:27;Turaif
103383590;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;10.584;9.448;125;108.696;0.15;69.444;56583;bal;d;s;sb;r;loc;2026-05-21 11:18:34;NGMakkah
103369692;F1;PLATE;Changan;eado;4;-;95;2.352;25.73;3.886;50;43.478;0.15;21.259;109366;bal;d;s;sb;r;loc;2026-05-21 09:10:57;HeadOffice
103334350;Turaif;PLATE;Isuzu;D-MAX 5;7;-;diesel;1.79;4.224;23.672;100;86.957;0.15;55.866;32316;bal;d;s;sb;r;loc;2026-05-20 22:28:43;Turaif
103317578;F1;PLATE;Nissan;Datsun;1;-;95;2.34;3.267;30.61;154;133.913;0.15;65.812;393183;bal;d;s;sb;r;loc;2026-05-20 18:48:42;NGMakkah
103225157;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;12.994;7.696;95.17;82.757;0.15;52.872;38094;bal;d;s;sb;r;loc;2026-05-19 22:41:09;NGMakkah
103199452;Turaif;PLATE;Isuzu;D-MAX;11;-;diesel;1.79;21.323;4.69;91;79.13;0.15;50.838;5761;bal;d;s;sb;r;loc;2026-05-19 17:20:46;Turaif
103143837;Turaif;PLATE;Isuzu;D-MAX 5;7;-;diesel;1.79;14.091;7.097;78;67.826;0.15;43.575;32080;bal;d;s;sb;r;loc;2026-05-19 08:09:19;Turaif
103112232;Turaif;PLATE;JMC;Co-star;9;-;diesel;1.79;4.654;21.487;135;117.391;0.15;75.419;2553;bal;d;s;sb;r;loc;2026-05-18 21:37:26;Turaif
103079553;Turaif;PLATE;JMC;Co-star;8;-;diesel;1.8;97.912;1.021;10;8.696;0.15;5.556;593;bal;d;s;sb;r;loc;2026-05-18 15:22:52;NGMakkah
103005220;F1;PLATE;Nissan;Datsun;1;-;95;2.34;1.334;74.974;100;86.957;0.15;42.735;392968;bal;d;s;sb;r;loc;2026-05-17 21:45:54;NGMakkah
102973815;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;5.922;16.886;100;86.957;0.15;55.556;37407;bal;d;s;sb;r;loc;2026-05-17 15:38:50;NGMakkah
102937850;F1;PLATE;Nissan;Datsun;1;-;95;2.34;22.879;4.371;36;31.304;0.15;15.385;392911;bal;d;s;sb;r;loc;2026-05-17 09:44:29;NGMakkah
102934897;F1;PLATE;Isuzu;D-MAX 5;6;-;diesel;1.8;12.682;7.885;132;114.783;0.15;73.333;55848;bal;d;s;sb;r;loc;2026-05-17 09:18:19;NGMakkah
102804808;F1;PLATE;Isuzu;D-MAX 5;5;-;diesel;1.8;13.933;7.177;54;46.957;0.15;30;37078;bal;d;s;sb;r;loc;2026-05-16 00:53:52;NGMakkah
102768277;F1;PLATE;MG;MG5;2;-;95;2.33;27.216;3.674;47;40.87;0.15;20.172;66524;bal;d;s;sb;r;loc;2026-05-15 14:06:37;HeadOffice
102725654;F1;PLATE;MG;MG65;3;-;95;2.34;9.968;10.032;100;86.957;0.15;42.735;71072;bal;d;s;sb;r;loc;2026-05-14 22:04:21;Imtithal
